"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","587","TC-PROF-004: Invalid name changes are rejected - DB unchanged [4] oldName=Valid Name, invalidName=John@ Doe","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotChangeNameWithInvalidDataTest"
"","348","TC-007: Admin cannot create user with invalid username [1] username=, expectedError=Username cannot be blank","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.CreateUserTest$ValidationTests","adminCannotCreateUserWithInvalidUsername"
"","7477","Transfer to self (same user, different account)","","2026-07-16","passed","2026-07-16","","Пограничные случаи и валидация входных данных","iteration1.api.TransferWithFraudCheckTest$EdgeCasesTests","selfTransfer_handledCorrectly"
"","6305","Transfer from non-existent account returns 403","","2026-07-16","passed","2026-07-16","","Проверка согласованности базы данных","iteration1.api.TransferWithFraudCheckTest$DatabaseConsistencyTests","transferFromNonExistentAccount_returns404"
"","611","TC-DEP-002: Invalid deposit amounts are rejected - DB unchanged [1] amount=-100.0","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.DepositTest$ValidationTests","userCannotDepositInvalidAmountsTest"
"","1851","TC-TRF-004: Invalid transfer amounts are rejected - DB unchanged [4] amount=999999.0, expectedStatusCode=400","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.TransferTest$NegativeTests","userCannotTransferInvalidAmountsTest"
"","132","TC-007: Admin cannot create user with invalid username [2] username=ab, expectedError=Username must be between 3 and 15 characters","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.CreateUserTest$ValidationTests","adminCannotCreateUserWithInvalidUsername"
"","1948","TC-TRF-004: Invalid transfer amounts are rejected - DB unchanged [1] amount=-50.0, expectedStatusCode=400","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.TransferTest$NegativeTests","userCannotTransferInvalidAmountsTest"
"","230","TC-001: Admin can create user with valid data [5] username=mqtyt319, password=JEmk@6D2lm, role=USER","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateUserTest$PositiveTests","adminCanCreateUserWithCorrectData"
"","1703","TC-TRF-001: User can transfer between own accounts - DB verification [2] depositAmount=500.0, transferAmount=500.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferValidAmountsTest"
"","801","TC-PROF-003: User can change name multiple times - DB tracks updates","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.ProfileTest$PositiveTests","userCanChangeNameMultipleTimesTest"
"","4306","Very small but valid amounts should work [1] amount=0.01","","2026-07-16","passed","2026-07-16","","Пограничные случаи и валидация входных данных","iteration1.api.TransferWithFraudCheckTest$EdgeCasesTests","verySmallAmounts_shouldWork"
"","596","TC-DEP-002: Invalid deposit amounts are rejected - DB unchanged [2] amount=0.0","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.DepositTest$ValidationTests","userCannotDepositInvalidAmountsTest"
"","470","TC-PROF-005: Cannot update profile with null name","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotUpdateProfileWithNullNameTest"
"","3913","Transfer with invalid token returns 401","","2026-07-16","passed","2026-07-16","","Безопасность и авторизация","iteration1.api.TransferWithFraudCheckTest$SecurityTests","transferWithInvalidToken_returns401"
"","4096","Very small but valid amounts should work [4] amount=1.0","","2026-07-16","passed","2026-07-16","","Пограничные случаи и валидация входных данных","iteration1.api.TransferWithFraudCheckTest$EdgeCasesTests","verySmallAmounts_shouldWork"
"","1728","TC-TRF-004: Invalid transfer amounts are rejected - DB unchanged [2] amount=0.0, expectedStatusCode=400","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.TransferTest$NegativeTests","userCannotTransferInvalidAmountsTest"
"","677","TC-ACC-001: User can create account - DB verification","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateAccountTest$PositiveTests","userCanCreateAccountTest"
"","40","TC-TRF-006: Unauthorized transfer requests are rejected [2] authHeader=Bearer invalid.token, expectedStatusCode=401","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.TransferTest$SecurityTests","userCannotTransferWithoutAuthTest"
"","598","TC-PROF-001: User can change name - API and DB consistency [4] oldName=Ivanov Ivan, newName=Ivan Petrov","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.ProfileTest$PositiveTests","userCanChangeNameWithValidDataTest"
"","220","TC-001: Admin can create user with valid data [2] username=ddbkd.qpmqv, password=1ypXJDT4k@, role=USER","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateUserTest$PositiveTests","adminCanCreateUserWithCorrectData"
"","864","TC-LOG-003: User cannot login with wrong password - DB unchanged","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Authentication","iteration1.api.LoginUserTest$NegativeTests","userCannotLoginWithWrongPasswordTest"
"","590","TC-DEP-002: Invalid deposit amounts are rejected - DB unchanged [3] amount=5001.0","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.DepositTest$ValidationTests","userCannotDepositInvalidAmountsTest"
"","605","TC-PROF-004: Invalid name changes are rejected - DB unchanged [3] oldName=Valid Name, invalidName=John 123","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotChangeNameWithInvalidDataTest"
"","636","TC-PROF-004: Invalid name changes are rejected - DB unchanged [2] oldName=Valid Name, invalidName=John Peter Smith","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotChangeNameWithInvalidDataTest"
"","794","TC-ACC-003: User can view own accounts - matches DB","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateAccountTest$PositiveTests","userCanViewOwnAccountsTest"
"","144","TC-007: Admin cannot create user with invalid username [5] username=john doe, expectedError=Username must contain only letters, digits, dashes, underscores, and dots","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.CreateUserTest$ValidationTests","adminCannotCreateUserWithInvalidUsername"
"","133","TC-007: Admin cannot create user with invalid username [3] username=abcdefghijklmnop, expectedError=Username must be between 3 and 15 characters","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.CreateUserTest$ValidationTests","adminCannotCreateUserWithInvalidUsername"
"","557","TC-PROF-004: Invalid name changes are rejected - DB unchanged [1] oldName=Valid Name, invalidName=John","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotChangeNameWithInvalidDataTest"
"","4170","APPROVED: Low-risk transaction completes immediately","","2026-07-16","passed","2026-07-16","","Механизм принятия решений anti-fraud","iteration1.api.TransferWithFraudCheckTest$FraudDecisionTests","approved_lowRiskTransaction_completesImmediately"
"","596","TC-PROF-004: Invalid name changes are rejected - DB unchanged [6] oldName=Valid Name, invalidName= ","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotChangeNameWithInvalidDataTest"
"","596","TC-PROF-001: User can change name - API and DB consistency [3] oldName=Test User, newName=Sara Connor","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.ProfileTest$PositiveTests","userCanChangeNameWithValidDataTest"
"","3522","TC-DEP-001: User can deposit valid amounts - DB verification [5] amount=5000.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.DepositTest$PositiveTests","userCanDepositValidAmountsTest"
"","9283","TC-TRF-003: User can transfer maximum allowed amount (10000.00)","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferMaxLimitAmountTest"
"","4130","Very small but valid amounts should work [2] amount=0.1","","2026-07-16","passed","2026-07-16","","Пограничные случаи и валидация входных данных","iteration1.api.TransferWithFraudCheckTest$EdgeCasesTests","verySmallAmounts_shouldWork"
"","138","TC-007: Admin cannot create user with invalid username [4] username=abc%, expectedError=Username must contain only letters, digits, dashes, underscores, and dots","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation","iteration1.api.CreateUserTest$ValidationTests","adminCannotCreateUserWithInvalidUsername"
"","0","TC-005: Admin can get all users - includes newly created user","","2026-07-16","skipped","2026-07-16","","Positive Scenarios","iteration1.api.CreateUserTest$PositiveTests","adminCanGetAllUsersTest"
"","5333","Very small but valid amounts should work [3] amount=0.99","","2026-07-16","passed","2026-07-16","","Пограничные случаи и валидация входных данных","iteration1.api.TransferWithFraudCheckTest$EdgeCasesTests","verySmallAmounts_shouldWork"
"","540","TC-PROF-001: User can change name - API and DB consistency [1] oldName=Old Name, newName=Anna Smith","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.ProfileTest$PositiveTests","userCanChangeNameWithValidDataTest"
"","3306","TC-DEP-001: User can deposit valid amounts - DB verification [1] amount=1.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.DepositTest$PositiveTests","userCanDepositValidAmountsTest"
"","16","TC-PROF-009: Cannot update profile without authentication","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.ProfileTest$SecurityTests","userCannotUpdateProfileWithoutAuthTest"
"","367","TC-PROF-006: Unauthorized requests are rejected [1] authHeader=, expectedStatusCode=401","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.ProfileTest$SecurityTests","userCannotAccessProfileWithoutAuthTest"
"","4142","TC-TRF-002: User can transfer to another user - DB verification [3] depositAmount=500.0, transferAmount=250.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferToAnotherUserTest"
"","555","TC-PROF-001: User can change name - API and DB consistency [2] oldName=John Wick, newName=John Doe","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.ProfileTest$PositiveTests","userCanChangeNameWithValidDataTest"
"","4040","TC-TRF-002: User can transfer to another user - DB verification [2] depositAmount=2000.0, transferAmount=1000.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferToAnotherUserTest"
"","3467","Zero amount transfer is rejected","","2026-07-16","passed","2026-07-16","","Пограничные случаи и валидация входных данных","iteration1.api.TransferWithFraudCheckTest$EdgeCasesTests","zeroAmount_rejected"
"","45","TC-TRF-006: Unauthorized transfer requests are rejected [3] authHeader=Basic invalid, expectedStatusCode=401","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.TransferTest$SecurityTests","userCannotTransferWithoutAuthTest"
"","2009","TC-TRF-001: User can transfer between own accounts - DB verification [3] depositAmount=5000.0, transferAmount=1.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferValidAmountsTest"
"","3871","TC-TRF-005: Cannot transfer from another user's account - security isolation","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.TransferTest$SecurityTests","userCannotTransferFromAnotherUsersAccountTest"
"","3532","TC-DEP-001: User can deposit valid amounts - DB verification [3] amount=999.99","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.DepositTest$PositiveTests","userCanDepositValidAmountsTest"
"","347","TC-PROF-006: Unauthorized requests are rejected [3] authHeader=Basic invalid, expectedStatusCode=401","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.ProfileTest$SecurityTests","userCannotAccessProfileWithoutAuthTest"
"","0","Проверка пороговых сумм для anti-fraud","","2026-07-16","skipped","2026-07-16","","Оценка риска на основе суммы перевода","iteration1.api.TransferWithFraudCheckTest$AmountThresholdTests","amountThresholds_shouldDetermineBehavior"
"","4076","Risk score 0.29 → APPROVED (just below threshold)","","2026-07-16","passed","2026-07-16","","Проверка граничных значений оценки риска","iteration1.api.TransferWithFraudCheckTest$RiskScoreBoundaryTests","riskScore_29_approved"
"","11663","Account balance never goes negative","","2026-07-16","passed","2026-07-16","","Проверка согласованности базы данных","iteration1.api.TransferWithFraudCheckTest$DatabaseConsistencyTests","accountBalance_neverNegative"
"","7577","Multiple approved transfers maintain correct cumulative balances","","2026-07-16","passed","2026-07-16","","Проверка согласованности базы данных","iteration1.api.TransferWithFraudCheckTest$DatabaseConsistencyTests","multipleApprovedTransfers_cumulativeBalancesCorrect"
"","1549","TC-TRF-006: Unauthorized transfer requests are rejected [1] authHeader=, expectedStatusCode=401","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.TransferTest$SecurityTests","userCannotTransferWithoutAuthTest"
"","718","TC-PROF-010: One user cannot update another user's profile","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.ProfileTest$SecurityTests","userCannotUpdateAnotherUsersProfileTest"
"","234","TC-001: Admin can create user with valid data [1] username=bncknkdzdu, password=!UBi4wW2n4, role=USER","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateUserTest$PositiveTests","adminCanCreateUserWithCorrectData"
"","2096","TC-TRF-001: User can transfer between own accounts - DB verification [4] depositAmount=2000.0, transferAmount=1999.99","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferValidAmountsTest"
"","407","TC-PROF-006: Unauthorized requests are rejected [2] authHeader=Bearer invalid.token, expectedStatusCode=401","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.ProfileTest$SecurityTests","userCannotAccessProfileWithoutAuthTest"
